Fasting Channel 1,Fasting Channel 2,Fasting Channel 3,Postprandial Channel 1,Postprandial Channel 2,Postprandial Channel 3
2.841796875,2.841796875,2.841796875,3.017578125,3.017578125,3.017578125
2.75390625,2.75390625,2.75390625,3.1640625,3.1640625,3.134765625
3.28125,3.28125,2.87109375,3.3984375,3.369140625,3.193359375
3.076171875,3.10546875,3.134765625,3.1934,3.1348,3.1348
2.578125,2.6953125,2.6953125,3.076171875,3.046875,3.076171875
3.251953125,2.490234375,2.49,3.193359375,3.22265625,3.251953125
2.138671875,2.138671875,2.314453125,1.9921875,2.28515625,2.900390625
2.607421875,2.607421875,2.666015625,2.783203125,2.841796875,2.783203125
3.076171875,3.076171875,3.076171875,3.251953125,3.251953125,3.251953125
2.578125,2.841796875,2.34375,3.369140625,3.28125,3.251953125
3.1640625,1.904296875,2.05078125,2.34375,2.314453125,1.9921875
2.724609375,2.724609375,2.841796875,2.900390625,2.900390625,2.900390625
2.28515625,3.076171875,3.45703125,3.28125,3.486328125,3.310546875
2.314453125,2.40234375,2.28515625,2.63671875,2.578125,2.607421875
2.16796875,2.16796875,3.10546875,2.256,2.255859375,2.255859375
2.4609375,2.8125,2.4609375,3.45703125,3.193359375,3.427734375
2.9592,3.0469,3.0762,3.10546875,3.10546875,3.10546875
2.900390625,2.548828125,2.841796875,2.87109375,2.87109375,2.87109375
2.841796875,2.87109375,2.841796875,2.9296875,2.9296875,2.9296875
3.28125,3.22265625,3.251953125,3.28125,3.28125,3.28125
