mean,median,std_dev,peak_to_peak,zero_crossings,dominant_frequency,spectral_entropy,peak_frequency,total_power,df_ch1_fasting,df_ch2_fasting,df_ch3_fasting,label,df_ch1_postprandial,df_ch2_postprandial,df_ch3_postprandial,mean_relevant_features,diabetes_label_adjusted
0.05238291666666666,0.04,0.14171398881136044,1.022,335,0.0,131482.5096,0,131482.5096,0.04736328125,0.04736328125,0.04736328125,0,,,,43827.5032,0
-0.37009624999999996,-0.3195,0.30956187774434396,1.513,104,0.0,1340926.7928,0,1340926.7928,,,,1,0.05029296875,0.05029296875,0.05029296875,446975.5976,1
-0.02642291666666667,-0.026,0.08974310962311474,0.8680000000000001,398,0.0,50411.4984,0,50411.4984,0.0458984375,0.0458984375,0.0458984375,0,,,,16803.8328,0
-0.006351666666666667,-0.0055,0.10052695574101285,0.71,469,31.5,58441.03199999999,63,58441.03199999999,,,,1,0.052734375,0.052734375,0.05224609375,19511.843999999997,0
0.0110575,-0.005,0.07737806015757955,0.778,689,0.5,35191.4832,1,35191.4832,0.0546875,0.0546875,0.0478515625,0,,,,11730.994400000001,0
-0.010425833333333334,-0.007,0.0832862153418693,0.762,562,0.0,40580.88,0,40580.88,,,,1,0.056640625,0.05615234375,0.05322265625,13526.96,0
-0.0018183333333333337,0.0045000000000000005,0.13684381120053946,1.06,368,6.0,107882.12159999998,12,107882.12159999998,0.05126953125,0.0517578125,0.05224609375,0,,,,35966.7072,0
-0.007278333333333336,-0.005,0.15733504864001396,1.6640000000000001,321,4.0,142890.0,8,142890.0,,,,1,0.03369140625,0.03369140625,0.03369140625,47634.0,0
-0.038178333333333335,-0.0435,0.10182922319856036,0.6719999999999999,475,0.0,68122.22880000001,0,68122.22880000001,0.04296875,0.044921875,0.044921875,0,,,,22707.409600000003,0
-0.011199166666666666,-0.0135,0.0753732512188877,0.687,716,0.0,33445.7184,0,33445.7184,,,,1,0.05126953125,0.05078125,0.05126953125,11148.5728,0
0.003646666666666668,-0.01,0.0929306470199985,0.765,390,0.5,49820.563200000004,1,49820.563200000004,0.05419921875,0.04150390625,0.04150390625,0,,,,16607.3544,0
-0.006807916666666666,-0.014,0.07856767372140437,0.692,415,1.5,35822.74799999999,3,35822.74799999999,,,,1,0.05322265625,0.0537109375,0.05419921875,11942.415999999997,0
-0.009420833333333324,-0.0015,1.0447418778017081,13.425,411,6.0,6287468.2176,12,6287468.2176,0.03564453125,0.03564453125,0.03857421875,0,,,,2095828.7392,1
-0.019947499999999996,-0.008,0.20338726749008487,2.664,403,9.0,240562.272,18,240562.272,,,,1,0.033203125,0.0380859375,0.04833984375,80196.424,1
-0.008432083333333335,-0.015,0.08471125694967026,0.698,889,4.0,41743.2792,8,41743.2792,0.04345703125,0.04345703125,0.04443359375,0,,,,13918.426399999998,0
-0.001274583333333334,-0.005,0.10131087480617793,0.78,558,8.0,59129.3832,16,59129.3832,,,,1,0.04638671875,0.04736328125,0.04638671875,19717.7944,0
0.006880833333333334,0.018,0.19112064461827655,1.35,458,31.0,210668.81279999999,62,210668.81279999999,0.05126953125,0.05126953125,0.05126953125,0,,,,70253.93759999999,0
-0.006164166666666667,-0.0095,0.18019234782856963,1.169,425,32.5,187241.928,65,187241.928,,,,1,0.05419921875,0.05419921875,0.05419921875,62446.476,0
-0.14530041666666668,-0.132,0.24420350836920093,2.3209999999999997,236,0.0,465105.97200000007,0,465105.97200000007,0.04296875,0.04736328125,0.0390625,0,,,,155035.32400000002,1
0.013984166666666666,0.001,0.09019258884541949,0.69,508,2.0,47982.297600000005,4,47982.297600000005,,,,1,0.05615234375,0.0546875,0.05419921875,15996.099200000002,0
-0.49033398590446364,-0.4625,0.19170234173569015,1.709,0,0.0,1808003.628982,0,1808003.628982,0.052734375,0.03125,0.0341796875,0,,,,602667.8763273334,1
-2.664209509083881,-2.936,1.1026180529618872,4.533,0,0.0,55640538.79851998,0,55640538.79851998,,,,1,0.0390625,0.03857421875,0.033203125,18546846.266173325,1
-0.030701712465153325,-0.015,0.23169130507063723,2.338,554,2.5,344407.499478,5,344407.499478,0.04541015625,0.04541015625,0.04736328125,0,,,,114804.999826,1
0.3126118314424636,0.0865,3.3624370749075037,21.134,474,0.0,69460266.669072,0,69460266.669072,,,,1,0.04833984375,0.04833984375,0.04833984375,23153422.223024,1
-0.045406717557251904,-0.036,0.11046446321900875,0.893,924,0.0,152992.112975,0,152992.112975,0.05615234375,0.05712890625,0.05712890625,0,,,,50997.37099166666,0
-0.5391561011359473,-0.551,0.27123492911505137,1.799,32,0.0,2712787.6413989994,0,2712787.6413989994,,,,1,0.0546875,0.05517578125,0.05859375,904262.5471329998,1
-1.5665725,-1.583,0.5309035605240214,3.959,1,0.0,15759406.012799999,0,15759406.012799999,0.03857421875,0.0400390625,0.0380859375,0,,,,5253135.337599999,1
-0.06289333333333333,-0.046,0.16185877935890766,1.166,379,0.0,173686.09439999997,0,173686.09439999997,,,,1,0.0439453125,0.04296875,0.04345703125,57895.36479999999,0
-1.7542383333333336,-1.647,0.6333614626450593,3.831,2,0.0,20036153.505600005,0,20036153.505600005,0.0361328125,0.0361328125,0.0517578125,0,,,,6678717.8352000015,1
0.020619166666666664,-0.005,0.2026305422009202,1.7280000000000002,475,2.5,238949.49119999996,5,238949.49119999996,,,,1,0.07470703125,0.03759765625,0.03759765625,79652.33039999999,0
-0.41662083333333333,-0.412,0.13752683216729827,1.312,8,0.0,1108722.5184,0,1108722.5184,0.041015625,0.046875,0.041015625,0,,,,369574.1728,1
-1.6077145833333335,-1.535,0.45980585191360174,2.892,0,0.0,16105925.392799998,0,16105925.392799998,,,,1,0.0576171875,0.05322265625,0.05712890625,5368641.797599999,1
